Hanzi,Pinyin,English
爱,ài,to love
八,bā,eight
爸爸,bàba,dad
吧,ba,"particle indicating suggestion, confirmation, or hesitation"
白天,báitiān,daytime
百,bǎi,hundred
半,bàn,"half; (half, semi-)"
包子,bāozi,steamed stuffed bun
杯子,bēizi,"cup, glass"
本,běn,measure word for books
边,biān,side; suffix indicating direction
病,bìng,"illness, disease; to be ill"
不,bù,"not, no"
不客气,bú kèqi,you’re welcome
不要,búyào,"don’t, not want"
菜,cài,"vegetable, dish"
茶,chá,tea
唱,chàng,to sing
超市,chāoshì,supermarket
车,chē,"vehicle, car"
吃,chī,to eat
出租车,chūzūchē,taxi
穿,chuān,to wear
打电话,dǎ diànhuà,to make a phone call
大,dà,big
大家,dàjiā,everyone
大学,dàxué,university
大学生,dàxuéshēng,university student
到,dào,to arrive
的,de,possessive or modifying particle
第,dì,prefix for ordinal numbers
弟弟,dìdi,younger brother
点,diǎn,"measure word for small round things; (point, dot)"
店,diàn,"shop, store"
电话,diànhuà,"telephone, phone call"
电脑,diànnǎo,computer
电视,diànshì,television
电影,diànyǐng,"movie, film"
电影院,diànyǐngyuàn,cinema
东西,dōngxi,"thing, object"
都,dōu,"all, both"
读,dú,to read
读书,dúshū,to read a book
对,duì,"correct, right; to, toward, for; (to treat; pair)"
对不起,duìbuqǐ,sorry
多,duō,"many, much; to have more; how many, how much; (more, over)"
多少,duōshao,"how many, how much"
儿子,érzi,son
二,èr,two
饭,fàn,"cooked rice, meal"
饭店,fàndiàn,restaurant
房间,fángjiān,room
非常,fēicháng,"very, extremely"
飞机,fēijī,airplane
分,fēn,"minute; (to divide, to separate; component, part)"
分钟,fēnzhōng,minute
高兴,gāoxìng,"happy, glad"
歌,gē,song
哥哥,gēge,older brother
个,gè,measure word for general objects
给,gěi,"to give; (to, for)"
公司,gōngsī,company
工作,gōngzuò,work; to work
狗,gǒu,dog
贵,guì,expensive
国,guó,country
还,hái,"still, also; quite"
孩子,háizi,child
汉语,Hànyǔ,Chinese language
汉字,Hànzì,Chinese character
好,hǎo,good; (well); (to be fond of)
好吃,hǎochī,"delicious, tasty"
好看,hǎokàn,good-looking
好听,hǎotīng,pleasant to listen to
好玩儿,hǎowánr,"fun, amusing"
号,hào,"number; measure word for people, items"
喝,hē,to drink
和,hé,"and, with"
很,hěn,very
后,hòu,"behind, later"
回,huí,to return; (measure word for times)
会,huì,"can, to be able to"
火车,huǒchē,train
鸡蛋,jīdàn,egg
几,jǐ,"how many, a few"
家,jiā,"home, family; measure word for families; (suffix indicating a person specializing in something)"
家人,jiārén,family member
见,jiàn,to see
件,jiàn,measure word for items
饺子,jiǎozi,dumpling
叫,jiào,"to be called, to call; to make; (by)"
姐姐,jiějie,older sister
今年,jīnnián,this year
今天,jīntiān,today
九,jiǔ,nine
觉得,juéde,"to feel, to think"
开,kāi,to open
开车,kāichē,to drive
看,kàn,"to see, to look"
看病,kànbìng,to see a doctor
看见,kànjiàn,to see
可以,kěyǐ,"can, may; okay, fine"
课,kè,"class, lesson"
口,kǒu,"mouth; measure word for family members, bites"
块,kuài,"measure word for pieces, chunks, money"
来,lái,to come
老师,lǎoshī,teacher
了,le,particle indicating completed action or change of state
冷,lěng,cold
里,lǐ,"inside, in, mile"
两,liǎng,two
零,líng,zero
六,liù,six
妈妈,māma,mom
吗,ma,question particle
买,mǎi,to buy
卖,mài,to sell
忙,máng,busy; to be busy
猫,māo,cat
没关系,méi guānxi,"never mind, it’s okay"
没事,méishì,"to have nothing to do, it doesn’t matter"
没有,méiyǒu,to not have; have not
妹妹,mèimei,younger sister
们,men,plural suffix for pronouns and nouns
米饭,mǐfàn,cooked rice
面包,miànbāo,bread
面条儿,miàntiáor,noodles
明年,míngnián,next year
明天,míngtiān,tomorrow
名字,míngzi,name
哪,nǎ,which
哪个,nǎge,which one
